2025-04-15 13:49:53 | INFO | root | [test_login.py:17] - Verifying Home page title
2025-04-15 13:49:54 | INFO | root | [test_login.py:24] - Home page title is passed
2025-04-15 13:49:55 | INFO | undetected_chromedriver.patcher | [patcher.py:346] - patching driver executable C:\Users\dpk08\appdata\roaming\undetected_chromedriver\undetected_chromedriver.exe
2025-04-15 13:49:56 | INFO | root | [test_login.py:33] - Verifying Login test
2025-04-15 13:50:08 | INFO | root | [test_login.py:47] - Login test is passed
2025-04-22 16:56:15 | INFO | undetected_chromedriver.patcher | [patcher.py:346] - patching driver executable C:\Users\dpk08\appdata\roaming\undetected_chromedriver\undetected_chromedriver.exe
2025-04-22 16:56:15 | INFO | root | [test_login.py:16] - Test_001_Login
2025-04-22 16:56:15 | INFO | root | [test_login.py:17] - Verifying Home page title
2025-04-22 16:56:16 | INFO | root | [test_login.py:24] - Home page title is passed
2025-04-22 16:56:18 | INFO | undetected_chromedriver.patcher | [patcher.py:346] - patching driver executable C:\Users\dpk08\appdata\roaming\undetected_chromedriver\undetected_chromedriver.exe
2025-04-22 16:56:18 | INFO | root | [test_login.py:33] - Verifying Login test
2025-04-22 16:56:30 | INFO | root | [test_login.py:47] - Login test is passed
2025-04-22 16:56:31 | INFO | undetected_chromedriver.patcher | [patcher.py:346] - patching driver executable C:\Users\dpk08\appdata\roaming\undetected_chromedriver\undetected_chromedriver.exe
2025-04-22 16:56:32 | INFO | root | [test_login_ddt.py:33] - Test_0012_DDT_Login
2025-04-22 16:56:32 | INFO | root | [test_login_ddt.py:34] - Verifying Login test
2025-04-22 16:59:20 | INFO | undetected_chromedriver.patcher | [patcher.py:346] - patching driver executable C:\Users\dpk08\appdata\roaming\undetected_chromedriver\undetected_chromedriver.exe
2025-04-22 16:59:21 | INFO | root | [test_login_ddt.py:33] - Test_0012_DDT_Login
2025-04-22 16:59:21 | INFO | root | [test_login_ddt.py:34] - Verifying Login test
2025-04-22 17:08:13 | INFO | undetected_chromedriver.patcher | [patcher.py:346] - patching driver executable C:\Users\dpk08\appdata\roaming\undetected_chromedriver\undetected_chromedriver.exe
2025-04-22 17:08:14 | INFO | root | [test_login_ddt.py:33] - Test_0012_DDT_Login
2025-04-22 17:08:14 | INFO | root | [test_login_ddt.py:34] - Verifying Login test
2025-04-22 17:12:08 | INFO | undetected_chromedriver.patcher | [patcher.py:346] - patching driver executable C:\Users\dpk08\appdata\roaming\undetected_chromedriver\undetected_chromedriver.exe
2025-04-22 17:12:09 | INFO | root | [test_login_ddt.py:33] - Test_0012_DDT_Login
2025-04-22 17:12:09 | INFO | root | [test_login_ddt.py:34] - Verifying Login test
2025-04-22 17:12:15 | INFO | root | [test_login_ddt.py:75] - Login DDT test passed
2025-04-22 17:13:43 | INFO | undetected_chromedriver.patcher | [patcher.py:346] - patching driver executable C:\Users\dpk08\appdata\roaming\undetected_chromedriver\undetected_chromedriver.exe
2025-04-22 17:13:44 | INFO | root | [test_login_ddt.py:33] - Test_0012_DDT_Login
2025-04-22 17:13:44 | INFO | root | [test_login_ddt.py:34] - Verifying Login test
2025-04-22 17:13:50 | INFO | root | [test_login_ddt.py:75] - Login DDT test passed
2025-04-22 17:15:54 | INFO | undetected_chromedriver.patcher | [patcher.py:346] - patching driver executable C:\Users\dpk08\appdata\roaming\undetected_chromedriver\undetected_chromedriver.exe
2025-04-22 17:15:54 | INFO | root | [test_login_ddt.py:33] - Test_0012_DDT_Login
2025-04-22 17:15:54 | INFO | root | [test_login_ddt.py:34] - Verifying Login test
2025-04-22 17:16:01 | INFO | root | [test_login_ddt.py:75] - Login DDT test passed
2025-04-22 17:17:26 | INFO | undetected_chromedriver.patcher | [patcher.py:346] - patching driver executable C:\Users\dpk08\appdata\roaming\undetected_chromedriver\undetected_chromedriver.exe
2025-04-22 17:17:26 | INFO | root | [test_login_ddt.py:33] - Test_0012_DDT_Login
2025-04-22 17:17:26 | INFO | root | [test_login_ddt.py:34] - Verifying Login test
2025-04-22 17:17:33 | INFO | root | [test_login_ddt.py:75] - Login DDT test passed
2025-04-22 17:19:02 | INFO | undetected_chromedriver.patcher | [patcher.py:346] - patching driver executable C:\Users\dpk08\appdata\roaming\undetected_chromedriver\undetected_chromedriver.exe
2025-04-22 17:19:03 | INFO | root | [test_login_ddt.py:33] - Test_0012_DDT_Login
2025-04-22 17:19:03 | INFO | root | [test_login_ddt.py:34] - Verifying Login test
2025-04-22 17:19:10 | INFO | root | [test_login_ddt.py:75] - Login DDT test passed
2025-04-22 17:26:12 | INFO | undetected_chromedriver.patcher | [patcher.py:346] - patching driver executable C:\Users\dpk08\appdata\roaming\undetected_chromedriver\undetected_chromedriver.exe
2025-04-22 17:26:13 | INFO | root | [test_login_ddt.py:33] - Test_0012_DDT_Login
2025-04-22 17:26:13 | INFO | root | [test_login_ddt.py:34] - Verifying Login test
2025-04-22 17:26:36 | INFO | root | [test_login_ddt.py:75] - Login DDT test passed
2025-04-22 17:26:36 | INFO | root | [test_login_ddt.py:82] - End of Login DDT Test
2025-04-22 17:26:36 | INFO | root | [test_login_ddt.py:83] - Completed TC_LoginDDT_002
2025-04-22 17:29:54 | INFO | undetected_chromedriver.patcher | [patcher.py:346] - patching driver executable C:\Users\dpk08\appdata\roaming\undetected_chromedriver\undetected_chromedriver.exe
2025-04-22 17:29:55 | INFO | root | [test_login_ddt.py:33] - Test_0012_DDT_Login
2025-04-22 17:29:55 | INFO | root | [test_login_ddt.py:34] - Verifying Login test
2025-04-22 17:30:18 | INFO | root | [test_login_ddt.py:79] - Login DDT test passed
2025-04-22 17:30:18 | INFO | root | [test_login_ddt.py:86] - End of Login DDT Test
2025-04-22 17:30:18 | INFO | root | [test_login_ddt.py:87] - Completed TC_LoginDDT_002
2025-04-22 21:13:44 | INFO | undetected_chromedriver.patcher | [patcher.py:346] - patching driver executable C:\Users\dpk08\appdata\roaming\undetected_chromedriver\undetected_chromedriver.exe
2025-04-22 21:13:45 | INFO | root | [test_login.py:16] - Test_001_Login
2025-04-22 21:13:45 | INFO | root | [test_login.py:17] - Verifying Home page title
2025-04-22 21:13:46 | INFO | root | [test_login.py:24] - Home page title is passed
2025-04-22 21:13:47 | INFO | undetected_chromedriver.patcher | [patcher.py:346] - patching driver executable C:\Users\dpk08\appdata\roaming\undetected_chromedriver\undetected_chromedriver.exe
2025-04-22 21:13:48 | INFO | root | [test_login.py:33] - Verifying Login test
2025-04-22 21:14:00 | INFO | root | [test_login.py:47] - Login test is passed
2025-04-22 21:14:01 | INFO | undetected_chromedriver.patcher | [patcher.py:346] - patching driver executable C:\Users\dpk08\appdata\roaming\undetected_chromedriver\undetected_chromedriver.exe
2025-04-22 21:14:02 | INFO | root | [test_login_ddt.py:33] - Test_0012_DDT_Login
2025-04-22 21:14:02 | INFO | root | [test_login_ddt.py:34] - Verifying Login test
2025-04-22 21:14:24 | INFO | root | [test_login_ddt.py:79] - Login DDT test passed
2025-04-22 21:14:24 | INFO | root | [test_login_ddt.py:86] - End of Login DDT Test
2025-04-22 21:14:24 | INFO | root | [test_login_ddt.py:87] - Completed TC_LoginDDT_002
